"dL []","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.056825,2.598,93.6116550778941,41.9346981923483
0.056825,2.601,94.0575155334774,42.6762814992379
0.056825,2.604,94.505626593828,43.4178965251993
0.056825,2.607,94.9560011348817,44.1595430035082
0.056825,2.61,95.4086521228796,44.9012206037696
0.056825,2.613,95.8635926151326,45.6429289310338
0.056825,2.616,96.3208357607909,46.3846675248926
0.056825,2.619,96.7803948016205,47.1264358585595
0.056825,2.622,97.2422830727827,47.8682333379283
0.056825,2.625,97.7065140036201,48.6100593006136
0.056825,2.628,98.1731011184467,49.3519130149711
0.056825,2.631,98.6420580373429,50.0937936790981
0.056825,2.634,99.1133984769562,50.8357004198132
0.056825,2.637,99.587136251305,51.5776322916152
0.056825,2.64,100.063285272588,52.319588275621
0.056825,2.643,100.541859551999,53.0615672784808
0.056825,2.646,101.022873200541,53.8035681312731
0.056825,2.649,101.506340429853,54.5455895883756
0.056825,2.652,101.992275553033,55.2876303263135
0.056825,2.655,102.480692985466,56.0296889425852
0.056825,2.658,102.971607245661,56.771763954464
0.056825,2.661,103.465032956088,57.5138537977752
0.056825,2.664,103.960984844013,58.2559568256488
0.056825,2.667,104.459477742348,58.9980713072477
0.056825,2.67,104.960526590491,59.7401954264701
0.056825,2.673,105.464146435182,60.4823272806259
0.056825,2.676,105.970352431347,61.2244648790866
0.056825,2.679,106.479159842956,61.9666061419089
0.056825,2.682,106.99058404388,62.7087488984306
0.056825,2.685,107.504640518745,63.4508908858388
0.056825,2.688,108.021344863795,64.19302974771
0.056825,2.691,108.540712787748,64.9351630325209
0.056825,2.694,109.062760112663,65.6772881921314
0.056825,2.697,109.587502774798,66.4194025802358
0.056825,2.7,110.114956825473,67.1615034507858
0.056825,2.703,110.645138431938,67.9035879563816
0.056825,2.706,111.178063878228,68.6456531466318
0.056825,2.709,111.713749566029,69.3876959664823
0.056825,2.712,112.252212015541,70.1297132545119
0.056825,2.715,112.793467866333,70.8717017411964
0.056825,2.718,113.337533878207,71.6136580471375
0.056825,2.721,113.884426932047,72.3555786812605
0.056825,2.724,114.434164030682,73.0974600389746
0.056825,2.727,114.986762299726,73.8392984003009
0.056825,2.73,115.542238988437,74.5810899279627
0.056825,2.733,116.10061147055,75.3228306654417
0.056825,2.736,116.661897245125,76.0645165349961
0.056825,2.739,117.226113937376,76.8061433356428
0.056825,2.742,117.793279299504,77.5477067411001
0.056825,2.745,118.363411211519,78.2892022976947
0.056825,2.748,118.93652768206,79.0306254222272
0.056825,2.751,119.512646849199,79.7719713998
0.056825,2.754,120.091786981255,80.5132353816042
0.056825,2.757,120.673966477579,81.2544123826669
0.056825,2.76,121.259203869344,81.9954972795559
0.056825,2.763,121.847517820327,82.7364848080443
0.056825,2.766,122.438927127668,83.4773695607314
0.056825,2.769,123.033450722632,84.2181459846215
0.056825,2.772,123.631107671355,84.9588083786596
0.056825,2.775,124.231917175572,85.6993508912212
0.056825,2.778,124.835898573345,86.4397675175603
0.056825,2.781,125.443071339763,87.1800520972094
0.056825,2.784,126.05345508764,87.9201983113356
0.056825,2.787,126.66706956819,88.660199680049
0.056825,2.79,127.283934671688,89.4000495596656
0.056825,2.793,127.90407042812,90.1397411399212
0.056825,2.796,128.527497007802,90.8792674411378
0.056825,2.799,129.154234721996,91.6186213113421
0.056825,2.802,129.784304023495,92.3577954233332
0.056825,2.805,130.417725507193,93.0967822717014
0.056825,2.808,131.054519910632,93.8355741697972
0.056825,2.811,131.694708114527,94.5741632466477
0.056825,2.814,132.338311143268,95.3125414438237
0.056825,2.817,132.985350165392,96.0507005122523
0.056825,2.82,133.635846494043,96.7886320089799
0.056825,2.823,134.289821587386,97.5263272938791
0.056825,2.826,134.947297049011,98.2637775263044
0.056825,2.829,135.608294628297,99.0009736616928
0.056825,2.832,136.27283622075,99.7379064481096
0.056825,2.835,136.940943868306,100.47456642274
0.056825,2.838,137.612639759607,101.210943908323
0.056825,2.841,138.287946230238,101.947029009534
0.056825,2.844,138.966885762931,102.682811609304
0.056825,2.847,139.649480987728,103.418281365091
0.056825,2.85,140.335754682113,104.153427705082
0.056825,2.853,141.025729771101,104.88823982435
0.056825,2.856,141.719429327281,105.622706680944
0.056825,2.859,142.416876570825,106.356816991926
0.056825,2.862,143.118094869449,107.090559229344
0.056825,2.865,143.823107738325,107.823921616149
0.056825,2.868,144.531938839952,108.556892122054
0.056825,2.871,145.244611983976,109.289458459331
0.056825,2.874,145.961151126957,110.021608078545
0.056825,2.877,146.681580372085,110.753328164236
0.056825,2.88,147.405923968847,111.484605630532
0.056825,2.883,148.134206312629,112.215427116705
0.056825,2.886,148.86645194427,112.945778982668
0.056825,2.889,149.602685549553,113.675647304407
