"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
2.343,89.8568763576404,37.9454538652103
2.346,90.3240604887699,38.7878475039682
2.349,90.7938489046162,39.6303345026836
2.352,91.2662575517857,40.4729152552177
2.355,91.7413024849271,41.3155900707579
2.358,92.2189998674711,42.1583591728439
2.361,92.6993659723748,43.0012226983772
2.364,93.1824171828703,43.8441806966147
2.367,93.6681699932174,44.6872331281439
2.37,94.1566410094604,45.5303798638432
2.373,94.6478469501899,46.3736206838231
2.376,95.1418046473075,47.2169552763517
2.379,95.638531046796,48.0603832367608
2.382,96.138043209493,48.9039040663349
2.385,96.6403583118686,49.7475171711818
2.388,97.1454936468075,50.5912218610848
2.391,97.6534666243954,51.435017348335
2.394,98.1642947727084,52.2789027465467
2.397,98.6779957386078,53.1228770694505
2.4,99.1945872885382,53.9669392296696
2.403,99.7140873093291,54.8110880374738
2.406,100.236513809001,55.6553221995144
2.409,100.761884917576,56.4996403175389
2.412,101.29021888789,57.3440408870829
2.415,101.821534096412,58.1885222961436
2.418,102.355849044063,59.033082823828
2.421,102.893182357043,59.8777206389838
2.424,103.433552787657,60.7224337988039
2.427,103.97697921515,61.5672202474107
2.43,104.523480646541,62.4120778144171
2.433,105.07307621746,63.2570042134634
2.436,105.625785192993,64.1019970407318
2.439,106.181626968528,64.9470537734358
2.442,106.740621070601,65.7921717682859
2.445,107.302787157747,66.6373482599305
2.448,107.868145021362,67.4825803593717
2.451,108.436714586553,68.3278650523549
2.454,109.008515913002,69.1731991977334
2.457,109.58356919583,70.0185795258066
2.46,110.161894766461,70.8640026366304
2.463,110.743513093495,71.7094649983019
2.466,111.328444783575,72.5549629452154
2.469,111.916710582261,73.4004926762912
2.472,112.50833137491,74.2460502531751
2.475,113.103328187547,75.0916315984101
2.478,113.701722187751,75.9372324935774
2.481,114.303534685534,76.7828485774088
2.484,114.908787134224,77.6284753438677
2.487,115.517501131352,78.4741081402006
2.49,116.129698419534,79.3197421649565
2.493,116.745400887364,80.1653724659733
2.496,117.364630570299,81.0109939383357
2.499,117.987409651548,81.8566013222956
2.502,118.613760462965,82.7021892011632
2.505,119.243705485939,83.5477519991612
2.508,119.877267352281,84.3932839792472
2.511,120.514468845121,85.2387792408987
2.514,121.155332899794,86.0842317178651
