"Freq [GHz]","St(1,1) []"
2.883,0.754066950253986 + 0.158858227317489i
2.886,0.755079842426483 + 0.158071340863379i
2.889,0.756084609424684 + 0.157284818806251i
2.892,0.757081328051268 + 0.156498687019677i
2.895,0.758070074252324 + 0.155712970591269i
2.898,0.759050923124457 + 0.154927693840673i
2.901,0.760023948921904 + 0.154142880337178i
2.904,0.760989225063637 + 0.153358552916946i
2.907,0.761946824140466 + 0.15257473369988i
2.91,0.762896817922131 + 0.151791444106128i
2.913,0.763839277364378 + 0.151008704872251i
2.916,0.76477427261602 + 0.150226536067027i
2.919,0.765701873025983 + 0.149444957106945i
2.922,0.766622147150323 + 0.148663986771354i
2.925,0.767535162759225 + 0.147883643217303i
2.928,0.768440986843973 + 0.147103943994065i
2.931,0.76933968562389 + 0.146324906057365i
2.934,0.770231324553252 + 0.145546545783295i
2.937,0.771115968328163 + 0.144768878981957i
2.94,0.771993680893397 + 0.143991920910811i
2.943,0.772864525449209 + 0.14321568628775i
2.946,0.773728564458099 + 0.142440189303902i
2.949,0.774585859651546 + 0.141665443636177i
2.952,0.775436472036691 + 0.140891462459543i
2.955,0.776280461902986 + 0.140118258459065i
2.958,0.777117888828799 + 0.139345843841686i
2.961,0.777948811687965 + 0.138574230347779i
2.964,0.778773288656306 + 0.137803429262458i
2.967,0.779591377218094 + 0.137033451426665i
2.97,0.780403134172468 + 0.136264307248035i
2.973,0.781208615639808 + 0.135496006711538i
2.976,0.782007877068057 + 0.134728559389921i
2.979,0.78280097323899 + 0.13396197445393i
2.982,0.783587958274443 + 0.133196260682341i
2.985,0.784368885642481 + 0.132431426471789i
2.988,0.785143808163521 + 0.13166747984641i
2.991,0.785912778016406 + 0.130904428467288i
2.994,0.786675846744418 + 0.130142279641733i
2.997,0.787433065261256 + 0.129381040332369i
3,0.788184483856945 + 0.128620717166055i
